tcp_frame_length,tcp_ip_length,tcp_length,udp_frame_length,udp_ip_length,udp_length,arp_frame_length,num_tls,num_http,num_ftp,num_ssh,num_smtp,num_dhcp,num_dns,num_nbns,num_smb,num_smb2,num_pnrp,num_wsdd,num_ssdp,num_tcp,num_udp,num_arp,num_igmp,num_connection_pairs,num_ports,num_packets,window_end_time
0,0,0,2006,1084,1118,210,0,2,0,0,0,0,16,4,0,0,0,0,0,0,22,5,18,8,14,46,14806
0,0,0,3479,2699,2487,0,0,5,0,0,0,0,6,15,2,0,0,0,0,0,28,0,6,4,8,34,19806
0,0,0,16524,2781,14822,0,0,17,0,0,0,3,4,0,1,0,0,6,0,0,33,0,9,5,13,42,24806
0,0,0,9798,1810,8636,84,0,18,0,0,0,5,0,0,0,0,0,0,0,0,23,2,2,5,7,27,29806
0,0,0,16843,5915,15239,420,0,10,0,0,0,0,12,4,0,0,0,6,0,0,36,10,20,10,14,66,34806
0,0,0,14842,7344,12918,168,0,33,0,0,0,1,10,2,0,0,0,0,0,0,46,4,6,8,12,56,39806
0,0,0,8476,4324,7168,0,0,22,0,0,0,0,2,8,0,0,0,0,0,0,32,0,0,4,7,32,44806
0,0,0,5126,2956,4244,0,0,5,0,0,0,0,6,6,2,0,0,2,0,0,23,0,0,4,11,23,49806
0,0,0,2602,1535,1924,210,0,6,0,0,0,1,2,4,4,0,0,0,0,0,17,5,0,6,10,22,54806
0,0,0,4914,2800,4168,84,0,6,0,0,0,0,3,3,3,0,0,2,0,0,19,2,0,5,12,21,59806
6857,6615,6111,18677,9873,16171,504,0,16,0,0,0,7,21,2,4,0,2,4,0,13,59,12,21,16,33,105,64806
6929,6747,6203,34439,17134,29359,420,0,31,0,0,0,5,23,30,2,0,15,6,0,13,120,10,24,15,36,167,69806
29150,14857,26074,15555,8969,12973,0,0,17,0,0,0,0,13,17,4,0,5,2,0,46,63,0,4,11,24,113,74806
0,0,0,2771,1020,1843,0,0,3,0,0,0,1,10,6,1,0,0,0,0,0,22,0,0,8,14,22,79806
0,0,0,8781,7696,9281,0,0,3,0,0,0,1,2,0,0,0,5,0,0,0,19,0,0,6,11,19,84806
0,0,0,4728,3536,4240,126,0,3,0,0,0,0,2,0,4,0,0,0,0,0,12,3,0,9,8,15,89806
0,0,0,3320,883,2488,0,0,3,0,0,0,1,1,4,2,0,5,0,0,0,18,0,0,6,10,18,94806
6478,6310,5806,2538,1304,1948,0,0,4,0,0,0,0,4,4,3,0,0,0,0,12,15,0,0,6,9,27,99806
0,0,0,2279,71,1705,0,0,3,0,0,0,0,1,0,0,0,5,0,0,0,11,0,0,4,6,11,104806
0,0,0,7936,213,6322,0,0,3,0,0,0,0,3,0,0,0,24,0,0,0,31,0,2,4,6,33,109806
0,0,0,6135,1115,4567,0,0,3,0,0,0,0,1,4,3,0,18,0,0,0,32,0,0,5,8,32,114806
0,0,0,2810,748,2316,84,0,3,0,0,0,0,2,0,3,0,0,0,0,0,11,2,2,6,7,15,119806
0,0,0,4647,213,3519,0,0,3,0,0,0,0,3,0,0,0,12,0,0,0,22,0,0,4,6,22,124806
0,0,0,2742,591,1896,0,0,3,0,0,0,1,9,4,0,0,0,0,0,0,19,0,0,8,13,19,129806
54,40,0,3059,889,2077,0,0,2,0,0,0,0,11,6,0,0,2,0,0,1,23,0,0,7,14,24,134806
0,0,0,7760,3938,6662,168,0,2,0,0,0,0,9,5,5,0,0,2,0,0,27,4,0,10,15,31,139806
0,0,0,3324,1140,2308,0,0,4,0,0,0,0,10,6,0,0,2,0,0,0,24,0,2,7,13,26,144806
0,0,0,3061,1107,2133,0,0,4,0,0,0,0,7,6,0,0,4,0,0,0,22,0,0,8,11,22,149806
0,0,0,5356,908,3760,0,0,4,0,0,0,0,9,6,0,0,12,0,0,0,34,0,0,8,13,34,154806
0,0,0,2285,445,1879,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,9,0,0,5,6,9,159806
0,0,0,3194,142,2262,0,0,3,0,0,0,0,2,0,0,0,12,0,0,0,18,0,0,4,6,18,164806
54,40,0,2904,0,2472,84,0,3,0,0,0,0,0,0,0,0,0,0,0,1,8,2,2,5,5,13,169806
0,0,0,3024,0,2160,84,0,3,0,0,0,0,0,0,0,0,12,0,0,0,16,2,0,4,4,18,174806
0,0,0,2448,0,2070,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,7,179806
0,0,0,4106,142,3066,0,0,3,0,0,0,0,2,0,0,0,12,0,0,0,20,0,2,4,6,22,184806
0,0,0,1954,142,1616,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,4,5,7,189806
0,0,0,3773,71,2767,84,0,4,0,0,0,0,1,0,0,0,12,0,0,0,19,2,0,5,6,21,194806
0,0,0,2240,0,1916,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,6,199806
74,0,0,3688,0,2716,0,0,4,0,0,0,0,0,0,0,0,12,0,0,1,18,0,0,3,6,19,204806
0,0,0,2240,0,1916,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,6,209806
0,0,0,3688,0,2716,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,18,0,2,3,4,20,214806
0,0,0,2486,232,2128,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,2,4,4,9,219806
0,0,0,4144,0,3118,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,3,4,19,224806
0,0,0,1784,0,1514,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,5,229806
0,0,0,4488,0,3354,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,21,0,0,3,4,21,234806
0,0,0,2128,0,1750,42,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,4,4,8,239806
0,0,0,4843,229,3729,0,0,4,0,0,0,0,0,0,1,0,12,0,0,0,21,0,0,4,5,21,244806
0,0,0,2704,0,2056,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,3,4,12,249806
0,0,0,4144,0,3118,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,3,4,19,254806
0,0,0,3160,0,2458,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,13,0,4,3,4,17,259806
0,0,0,4144,0,3118,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,3,4,19,264806
