tcp_frame_length,tcp_ip_length,tcp_length,udp_frame_length,udp_ip_length,udp_length,arp_frame_length,num_tls,num_http,num_ftp,num_ssh,num_smtp,num_dhcp,num_dns,num_nbns,num_smb,num_smb2,num_pnrp,num_wsdd,num_ssdp,num_tcp,num_udp,num_arp,num_igmp,num_connection_pairs,num_ports,num_packets,window_end_time
0,0,0,20286,10773,16248,546,0,16,0,0,0,7,60,8,0,0,0,2,0,0,97,13,26,12,44,137,11833
0,0,0,22160,11419,19612,84,0,33,0,0,0,1,4,14,2,0,0,4,0,0,62,2,1,7,15,65,16833
0,0,0,2290,1441,1978,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,4,8,21833
0,0,0,561,0,399,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,4,3,26833
0,0,0,208,0,154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,31833
0,0,0,416,0,308,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,36833
0,0,0,3485,2156,2503,210,0,1,0,0,0,5,12,1,4,0,0,0,0,0,23,5,17,10,15,45,41833
65156,63812,59828,74265,29102,66527,210,0,40,0,0,0,2,8,23,0,0,63,12,0,96,167,5,13,13,28,281,46833
0,0,0,12147,6185,10501,0,0,21,0,0,0,0,0,3,6,0,6,0,0,0,39,0,3,7,7,42,51833
0,0,0,4380,565,3468,0,0,5,0,0,0,1,0,0,2,0,6,0,0,0,18,0,0,6,8,18,56833
0,0,0,2756,0,2162,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,3,4,11,61833
0,0,0,3202,458,2486,0,0,4,0,0,0,0,0,0,2,0,6,0,0,0,14,0,0,4,5,14,66833
0,0,0,3532,458,2762,0,0,2,0,0,0,2,0,0,2,0,6,0,0,0,15,0,0,6,7,15,71833
0,0,0,3978,322,3154,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0,4,5,16,76833
8644,8042,6286,4402,1110,3258,84,0,3,0,0,0,1,7,3,2,37,6,0,0,43,24,2,0,11,17,69,81833
66,52,0,3970,328,3180,0,0,4,0,0,0,1,0,0,0,0,6,0,0,1,15,0,2,5,8,18,86833
620,536,288,2780,256,1996,0,0,2,0,0,0,0,4,2,0,4,6,0,0,6,16,0,2,8,12,24,91833
0,0,0,2808,78,2126,0,0,4,0,0,0,0,0,1,0,0,6,0,0,0,13,0,0,4,5,13,96833
0,0,0,7916,2486,6888,0,0,2,0,0,0,0,4,2,0,0,6,2,0,0,22,0,0,6,11,22,101833
19118613,18919435,18350311,4250,699,2884,0,4,4,0,0,0,1,12,4,1,924,6,0,0,14227,29,0,0,11,23,14256,106833
30245041,29930475,29031703,3458,232,2776,0,0,2,0,0,0,0,0,0,1,1469,6,0,0,22469,13,0,0,6,11,22482,111833
52040911,51497767,49945919,4200,334,3166,0,2,4,0,0,0,0,4,3,0,2101,6,0,0,38796,21,0,0,9,14,38817,116833
20228435,20006941,19374069,2768,630,1868,0,9,3,0,0,0,0,8,3,0,1705,6,0,0,15821,20,0,2,10,17,15843,121833
30681411,30359285,29438909,3399,199,2629,0,0,5,0,0,0,0,2,0,0,1545,6,0,0,23009,15,0,0,6,10,23024,126833
76718052,75932876,73689492,3212,0,2564,0,0,2,0,0,0,0,0,0,0,2069,6,0,0,56084,12,0,0,5,8,56096,131833
90385538,89465584,86837136,3172,0,2470,0,0,4,0,0,0,0,0,0,0,2397,6,0,0,65711,13,0,2,5,8,65726,136833
88167812,87269824,84704144,2756,0,2162,0,0,2,0,0,0,0,0,0,0,2292,6,0,0,64142,11,0,0,4,6,64153,141833
97866024,96838410,93902370,2716,0,2068,0,0,4,0,0,0,0,0,0,0,2866,6,0,0,73401,12,0,0,4,6,73413,146833
19755842,19547284,18951380,3212,0,2564,0,0,3,0,0,0,0,0,0,0,1184,6,0,0,14897,12,0,0,6,9,14909,151833
36241772,35855568,34752128,2716,0,2068,126,0,5,0,0,0,0,0,0,0,1780,6,0,0,27586,12,3,0,7,8,27601,156833
21160436,20935526,20292906,2756,0,2162,0,0,5,0,0,0,0,0,0,0,1483,6,0,0,16065,11,0,2,6,9,16078,161833
36498893,36114691,35016971,4548,0,3414,0,0,6,0,0,0,0,0,0,0,1952,14,0,0,27443,21,0,0,5,8,27464,166833
26692512,26415606,25624434,3458,232,2776,0,0,6,0,0,0,0,0,0,1,1082,6,0,0,19779,13,0,0,7,10,19792,171833
50449303,49920215,48408523,3172,0,2470,0,0,5,0,0,0,0,0,0,0,1625,6,0,0,37792,13,0,0,6,9,37805,176833
28627184,28324014,27457806,3683,885,2987,0,0,2,0,0,0,2,0,0,1,1334,6,0,0,21655,14,0,2,7,11,21671,181833
52117449,51565793,49989633,2959,229,2277,0,0,4,0,0,0,0,0,0,1,2445,6,0,0,39404,13,0,0,5,7,39417,186833
54551302,53972094,52317186,3328,334,2456,0,7,2,0,0,0,0,4,3,0,3265,6,0,0,41372,18,0,0,9,15,41390,191833
56032338,55446928,53774316,6380,0,4760,0,0,4,0,0,0,0,0,0,0,2624,22,0,0,41815,30,0,2,5,8,41847,196833
46776166,46287930,44892962,2756,0,2162,0,0,2,0,0,0,0,0,0,0,2269,6,0,0,34874,11,0,0,5,8,34885,201833
56817853,56225625,54533529,3288,334,2362,0,2,4,0,0,0,0,4,3,0,2477,6,0,0,42302,19,0,0,8,12,42321,206833
