tcp_frame_length,tcp_ip_length,tcp_length,udp_frame_length,udp_ip_length,udp_length,arp_frame_length,num_tls,num_http,num_ftp,num_ssh,num_smtp,num_dhcp,num_dns,num_nbns,num_smb,num_smb2,num_pnrp,num_wsdd,num_ssdp,num_tcp,num_udp,num_arp,num_igmp,num_connection_pairs,num_ports,num_packets,window_start_time,window_end_time
0,0,0,21984,11598,18420,546,0,22,0,0,0,7,41,12,0,0,0,2,11,0,86,13,26,11,32,125,6625,11625
0,0,0,19935,10310,17563,84,0,29,0,0,0,1,8,10,2,0,0,4,13,0,58,2,1,8,19,61,11625,16625
0,0,0,1986,1451,1436,0,0,3,0,0,0,1,8,0,3,0,0,0,1,0,15,0,0,5,12,15,16625,21625
0,0,0,881,381,569,0,0,2,0,0,0,0,6,0,0,0,0,0,2,0,8,0,0,2,6,8,21625,26625
0,0,0,445,195,289,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,2,6,4,26625,31625
0,0,0,416,0,308,84,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,4,31625,36625
0,0,0,3614,2310,2564,126,0,1,0,0,0,4,14,2,4,0,0,0,1,0,25,3,11,10,17,39,36625,41625
45985,44963,41923,37989,16242,32981,294,0,25,0,0,0,2,22,21,0,0,29,6,11,73,112,7,19,13,34,211,41625,46625
0,0,0,36603,19749,33021,0,0,35,0,0,0,1,3,4,7,0,12,6,15,0,83,0,3,10,18,86,46625,51625
0,0,0,4009,636,3117,0,0,5,0,0,0,1,1,0,2,0,6,0,4,0,18,0,0,7,10,18,51625,56625
0,0,0,3297,71,2615,84,0,2,0,0,0,0,1,0,0,0,6,0,2,0,13,2,0,5,6,15,56625,61625
0,0,0,2716,0,2068,0,0,4,0,0,0,0,0,0,0,0,6,0,4,0,12,0,0,3,4,12,61625,66625
0,0,0,3357,428,2641,42,0,2,0,0,0,1,0,0,2,0,6,0,2,0,14,1,0,7,7,15,66625,71625
0,0,0,6183,964,4771,0,0,6,0,0,0,1,0,0,3,0,14,0,4,0,28,0,0,6,8,28,71625,76625
0,0,0,2931,161,2303,0,0,3,0,0,0,0,0,0,0,0,6,0,2,0,12,0,0,4,5,12,76625,81625
0,0,0,2716,0,2068,0,0,4,0,0,0,0,0,0,0,0,6,0,4,0,12,0,0,3,4,12,81625,86625
0,0,0,2756,0,2162,0,0,2,0,0,0,0,0,0,0,0,6,0,2,0,11,0,2,3,4,13,86625,91625
0,0,0,3172,0,2470,0,0,4,0,0,0,0,0,0,0,0,6,0,4,0,13,0,2,3,4,15,91625,96625
0,0,0,3698,458,2982,0,0,2,0,0,0,0,0,0,2,0,6,0,2,0,14,0,0,4,5,14,96625,101625
54,40,0,4237,0,3103,0,0,4,0,0,0,1,0,0,0,0,14,0,4,1,21,0,0,5,8,22,101625,106625
54,40,0,3458,232,2776,168,0,2,0,0,0,0,0,0,1,0,6,0,2,1,13,4,0,5,7,18,106625,111625
0,0,0,3172,0,2470,0,0,4,0,0,0,0,0,0,0,0,6,0,4,0,13,0,0,3,4,13,111625,116625
